INVOICED_AMOUNT,FISCAL_QUARTER,PRODUCT_CATEGORY,SUPPLIER_NAME,IS_PREFERRED_SUPPLIER,CHANNEL,IS_CATALOG
53.36,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Wockhardt Limited,Yes,PO,no
10.7,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Ab7 Industries,Yes,Ebuy,no
15.4,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Akorn  Inc.,No,Ebuy,no
49.99,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Akorn  Inc.,No,Pcard,yes
63.74,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Best Buy ,Yes,Pcard,yes
1622.5,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,Ebuy,yes
825.49,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,PO,yes
15.12,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,Pcard,no
14.16,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,Pcard,yes
255.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Chattem  Inc.,No,PO,yes
238.84,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Chattem  Inc.,No,Pcard,yes
15.4,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Darron Tool & Eng Sbo,No,Ebuy,no
6.1,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Darron Tool & Eng Sbo,No,Pcard,no
265.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Deb Usa  Inc.,No,Ebuy,no
3.69,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Depomed  Inc.,No,Ebuy,yes
15.4,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Dza Brands Llc,Yes,PO,no
17.51,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Fenwal  Inc.,No,Ebuy,no
91.95,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Fenwal  Inc.,No,Pcard,no
6.1,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Godwin-Sbo  Lp,No,Pcard,no
534.5,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,H.J. Harkins Company  Inc.,No,Ebuy,no
1223.77,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Hampton Inn & Suites,No,Pcard,no
25.3,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Heel Inc,No,PO,no
255.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Heel Inc,No,Pcard,yes
12.91,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Hospira  Inc.,No,PO,no
72.99,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Hospira  Inc.,No,Pcard,no
103.36,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Johnny Rockets,No,Ebuy,no
53.44,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Kroger Company,No,PO,no
98.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Mary Kay Inc.,No,PO,yes
565.91,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Matrixx Initiatives  Inc.,No,Ebuy,no
200.94,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Matrixx Initiatives  Inc.,No,Pcard,no
15.4,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Mckesson,Yes,Ebuy,no
19.83,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Merck Sharp & Dohme Corp.,No,Pcard,yes
23.21,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Panrosa Enterprises  Inc.,Yes,Pcard,yes
36.43,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Pliva Inc.,No,Ebuy,no
548.54,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Prime Packaging  Inc.,No,Ebuy,yes
269.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Prime Packaging  Inc.,No,Pcard,no
219.64,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Quiznos,Yes,PO,no
0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Safeway Inc.,No,PO,no
96.56,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,Ebuy,no
210.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,PO,no
167.04000000000002,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,PO,yes
619.47,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,Pcard,no
100.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,Pcard,yes
265.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Shiseido Co.  Ltd.,No,Ebuy,no
12.91,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Shiseido Co.  Ltd.,No,PO,no
6.1,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Sj Creations  Inc.,Yes,Ebuy,no
70.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Sj Creations  Inc.,Yes,PO,yes
542.5699999999999,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,Ebuy,no
99.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,Ebuy,yes
212.8,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,PO,no
99.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,PO,yes
160.82,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,Pcard,no
36.51,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,Pcard,yes
22.11,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Tenaris  S.A.,Yes,Pcard,no
15.4,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Tenaris Coiled Tubes Llc,No,Ebuy,no
78.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Thefaceshop Co.  Ltd,No,PO,yes
30.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Thefaceshop Co.  Ltd,No,Pcard,yes
35.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Timken Group,No,Pcard,no
70.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Tonymoly Co.  Ltd.,No,Pcard,yes
15.4,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Valu Merchandisers Company,Yes,PO,no
1751.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Walgreen Co.,No,Pcard,no
223.82,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Walgreen Company,No,Ebuy,no
59.68,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Wise Consumer Products,Yes,Ebuy,no
4.9,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Wockhardt Limited,Yes,Ebuy,yes
324.0,Q1 FY2015,IT/IS AND TELECOMMUNICATIONS,Wockhardt Limited,Yes,Pcard,yes
53.68,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Alk-Abello  Inc.,Yes,Ebuy,no
156.99,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Alk-Abello  Inc.,Yes,Pcard,yes
238.0,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Avpak,No,Ebuy,no
0,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Best Buy ,Yes,Ebuy,no
22.0,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Cephalon  Inc.,Yes,Ebuy,no
271.0,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Cephalon  Inc.,Yes,Ebuy,yes
27.63,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Cephalon  Inc.,Yes,PO,no
65.4,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Cephalon  Inc.,Yes,Pcard,no
30.0,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Dza Brands Llc,Yes,PO,no
156.99,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Elizabeth Arden  Inc,Yes,Ebuy,yes
27.46,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Elizabeth Arden  Inc,Yes,PO,no
32.4,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Godwin-Sbo  Lp,No,PO,no
21.98,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Heel Inc,No,Pcard,no
28.4,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Knust Sbs,No,Pcard,no
2396.83,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Mary Kay Inc.,No,Pcard,yes
372.7,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Matrixx Initiatives  Inc.,No,PO,no
4.4,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Mckesson,Yes,Pcard,no
44.62,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Panda Express,Yes,Pcard,yes
52.91,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Revamp International Pte. Ltd.,Yes,PO,yes
315.2,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Safeway Inc.,No,Ebuy,yes
21.98,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Sandoz Inc,No,Ebuy,no
23.23,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Sandoz Inc,No,PO,no
28.4,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Sb Darron Pte Ltd,No,PO,no
82.2,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Sbot,No,Pcard,yes
314.38,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Skinfix  Inc.,Yes,Ebuy,no
44.62,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Starbucks,Yes,Ebuy,yes
7.7,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Thefaceshop Co.  Ltd,No,Pcard,no
570.88,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Ventura International Ltd,No,PO,no
52.91,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Walgreen Co.,No,Pcard,yes
80.0,Q1 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Walgreen Company,No,Ebuy,yes
720.35,Q1 FY2015,OUTSOURCED SERVICES,Cephalon  Inc.,Yes,Ebuy,no
73.5,Q1 FY2015,OUTSOURCED SERVICES,Cephalon  Inc.,Yes,Pcard,yes
16.48,Q1 FY2015,OUTSOURCED SERVICES,H.J. Harkins Company  Inc.,No,Ebuy,no
152.0,Q1 FY2015,OUTSOURCED SERVICES,Jeun Cell Ltd,No,Pcard,no
34.92,Q1 FY2015,OUTSOURCED SERVICES,Kroger Company,No,Ebuy,yes
239.0,Q1 FY2015,OUTSOURCED SERVICES,Matrixx Initiatives  Inc.,No,Pcard,no
83.69,Q1 FY2015,OUTSOURCED SERVICES,Matrixx Initiatives  Inc.,No,Pcard,yes
16.48,Q1 FY2015,OUTSOURCED SERVICES,Mckesson,Yes,Ebuy,no
39.0,Q1 FY2015,OUTSOURCED SERVICES,Panrosa Enterprises  Inc.,Yes,Ebuy,no
0,Q1 FY2015,OUTSOURCED SERVICES,Quiznos,Yes,Ebuy,no
68.77,Q1 FY2015,OUTSOURCED SERVICES,Sandoz Inc,No,Ebuy,yes
38.52,Q1 FY2015,OUTSOURCED SERVICES,Sandoz Inc,No,PO,yes
68.77,Q1 FY2015,OUTSOURCED SERVICES,Sandoz Inc,No,Pcard,yes
42.78,Q1 FY2015,OUTSOURCED SERVICES,Skinfix  Inc.,Yes,Ebuy,yes
11.99,Q1 FY2015,OUTSOURCED SERVICES,Tenaris,No,Ebuy,no
12.21,Q1 FY2015,OUTSOURCED SERVICES,Tenaris  S.A.,Yes,PO,no
11.99,Q1 FY2015,OUTSOURCED SERVICES,Tenaris Coiled Tubes Llc,No,Ebuy,no
0,Q1 FY2015,OUTSOURCED SERVICES,Thefaceshop Co.  Ltd,No,Ebuy,no
12.6,Q1 FY2015,OUTSOURCED SERVICES,Thefaceshop Co.  Ltd,No,Pcard,no
1040.0,Q2 FY2014,Asset,Akorn  Inc.,No,PO,no
951.13,Q2 FY2014,Asset,Alk-Abello  Inc.,Yes,PO,no
15.4,Q2 FY2014,Asset,Avkare  Inc.,No,PO,yes
14.61,Q2 FY2014,Asset,Cephalon  Inc.,Yes,Ebuy,yes
13.23,Q2 FY2014,Asset,Cephalon  Inc.,Yes,PO,yes
1040.0,Q2 FY2014,Asset,Mary Kay Inc.,No,PO,no
26.98,Q2 FY2014,Asset,Rimmel Inc.,No,PO,no
50.0,Q2 FY2014,Asset,Sandoz Inc,No,Ebuy,no
22.5,Q2 FY2014,Asset,Sandoz Inc,No,PO,no
28.14,Q2 FY2014,Asset,Sbot,No,Ebuy,no
245.0,Q2 FY2014,Asset,Skinfix  Inc.,Yes,Ebuy,no
22.76,Q2 FY2014,Asset,Skinfix  Inc.,Yes,Ebuy,yes
240.0,Q2 FY2014,Asset,Tenaris,No,PO,no
127.5,Q2 FY2014,Asset,Thefaceshop Co.  Ltd,No,Pcard,yes
10.5,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Akorn  Inc.,No,Pcard,no
16.21,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Avkare  Inc.,No,PO,yes
6.77,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Best Buy ,Yes,PO,no
13.0,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,Ebuy,no
99.0,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,PO,no
507.76,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,PO,yes
119.0,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,Pcard,no
36.06,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,Pcard,yes
68.04,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Chattem  Inc.,No,Ebuy,no
25.0,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Deb Usa  Inc.,No,PO,yes
39.36,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Depomed  Inc.,No,PO,no
42.47,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Dza Brands Llc,Yes,Ebuy,yes
39.36,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Henry Schein  Inc.,No,Ebuy,no
76.9,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Hospira  Inc.,No,Ebuy,yes
24.98,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Jeun Cell Ltd,No,Pcard,no
4708.04,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Johnny Rockets,No,Pcard,yes
12.0,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Kroger Company,No,Ebuy,no
51.62,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Mary Kay Inc.,No,PO,no
107.15,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,Ebuy,no
263.23,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,Ebuy,yes
205.0,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,Pcard,no
30.0,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Mckesson,Yes,Pcard,yes
21.06,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Merck Sharp & Dohme Corp.,No,PO,no
16.76,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Panda Express,Yes,Ebuy,no
31.86,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Prime Packaging  Inc.,No,Pcard,no
4708.04,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Quiznos,Yes,PO,yes
44.5,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Revamp International Pte. Ltd.,Yes,PO,no
3.14,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Rimmel Inc.,No,Pcard,yes
13.02,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Rite Aid Corporation,No,Ebuy,yes
44.5,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Safeway Inc.,No,Pcard,no
90.68,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Sandoz Inc,No,Ebuy,no
72.14,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Sandoz Inc,No,Ebuy,yes
66.7,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Sandoz Inc,No,PO,no
0,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Sandoz Inc,No,PO,yes
75.59,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Sandoz Inc,No,Pcard,yes
25.0,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Shiseido Co.  Ltd.,No,Pcard,yes
175.38,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Skinfix  Inc.,Yes,Ebuy,no
39.86,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Skinfix  Inc.,Yes,PO,no
187.92,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Skinfix  Inc.,Yes,PO,yes
12.1,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Skinfix  Inc.,Yes,Pcard,no
297.0,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Starbucks,Yes,PO,no
64.57,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Tenaris  S.A.,Yes,Pcard,yes
561.27,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Thefaceshop Co.  Ltd,No,Ebuy,yes
105.0,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Thefaceshop Co.  Ltd,No,PO,yes
239.0,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Timken Group,No,PO,yes
105.0,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Tonymoly Co.  Ltd.,No,PO,yes
239.0,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Tubos De Acero De Mexico Sa,No,Ebuy,yes
12.77,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Valu Merchandisers Company,Yes,PO,no
30.0,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Walgreen Co.,No,PO,no
223.82,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Walgreen Company,No,Pcard,yes
26.52,Q2 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Wockhardt Limited,Yes,PO,no
0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Alk-Abello  Inc.,Yes,Pcard,no
341.0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Avpak,No,PO,no
249.74,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Best Buy ,Yes,Pcard,no
15.4,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,Ebuy,yes
4738.43,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,PO,no
73.9,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,PO,yes
4160.14,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,Pcard,no
81.57,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,Pcard,yes
7.0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Chattem  Inc.,No,Ebuy,no
30.19,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Darron Tool & Eng Sbo,No,PO,no
16.48,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Deb Usa  Inc.,No,Ebuy,no
699.0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Elizabeth Arden  Inc,Yes,Pcard,no
19.46,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Fenwal  Inc.,No,PO,yes
39.05,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Hampton Inn & Suites,No,PO,no
0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Heel Inc,No,Pcard,no
15.4,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Johnny Rockets,No,Pcard,yes
34.0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Knust Sbs,No,PO,yes
22.0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Matrixx Initiatives  Inc.,No,Ebuy,no
99.0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Matrixx Initiatives  Inc.,No,Ebuy,yes
292.0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Matrixx Initiatives  Inc.,No,PO,yes
10.76,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Matrixx Initiatives  Inc.,No,Pcard,yes
13.02,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Merck Sharp & Dohme Corp.,No,Ebuy,no
15.4,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Panda Express,Yes,Ebuy,no
60.3,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Panda Express,Yes,PO,no
39.5,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Panrosa Enterprises  Inc.,Yes,PO,no
29.59,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Panrosa Enterprises  Inc.,Yes,Pcard,yes
0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Prime Packaging  Inc.,No,PO,no
26.98,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Prime Packaging  Inc.,No,Pcard,no
15.4,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Revamp International Pte. Ltd.,Yes,Ebuy,yes
813.0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Revamp International Pte. Ltd.,Yes,Pcard,no
70.66,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Rimmel Inc.,No,PO,no
371.7,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Rite Aid Corporation,No,Ebuy,yes
371.7,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Safeway,Yes,Ebuy,yes
10.76,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Safeway,Yes,PO,yes
15.4,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Safeway Inc.,No,Ebuy,yes
35.0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,Ebuy,no
415.75,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,Ebuy,yes
415.75,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,PO,yes
120.0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,Pcard,no
21.63,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,Pcard,yes
261.0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Sb Darron Pte Ltd,No,PO,yes
55.0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Sbot,No,Ebuy,yes
216.5,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Sbot,No,PO,yes
17.87,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Schoeller Bleckmann Inc,No,Ebuy,no
139.52,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Schoeller Bleckmann Inc,No,PO,no
107.93,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Schoeller Bleckmann Inc,No,Pcard,yes
35.74,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Sj Creations  Inc.,Yes,Ebuy,no
37.88,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,Ebuy,no
287.07000000000005,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,PO,no
362.17999999999995,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,PO,yes
282.88,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,Pcard,no
254.70999999999998,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,Pcard,yes
81.16,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Starbucks,Yes,Pcard,no
139.52,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Tenaris,No,Pcard,no
95.79,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Thefaceshop Co.  Ltd,No,Ebuy,no
295.1,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Thefaceshop Co.  Ltd,No,Ebuy,yes
95.79,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Thefaceshop Co.  Ltd,No,PO,no
39.4,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Thefaceshop Co.  Ltd,No,Pcard,no
61.13,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Thefaceshop Co.  Ltd,No,Pcard,yes
35.74,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Tonymoly Co.  Ltd.,No,Pcard,no
81.16,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Tubos De Acero De Mexico Sa,No,Pcard,no
0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Ventura International Ltd,No,PO,no
341.0,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Walgreen Co.,No,PO,no
49.5,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Walgreen Company,No,Ebuy,no
15.4,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Wise Consumer Products,Yes,PO,yes
29.71,Q2 FY2014,IT/IS AND TELECOMMUNICATIONS,Wockhardt Limited,Yes,Pcard,no
91.67,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Avkare  Inc.,No,Ebuy,no
4.24,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,C.D.M.A.  Inc,No,Ebuy,yes
2200.14,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,C.D.M.A.  Inc,No,PO,yes
535.39,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Cephalon  Inc.,Yes,Ebuy,no
347.47,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Cephalon  Inc.,Yes,PO,no
703.66,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Cephalon  Inc.,Yes,PO,yes
36.06,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Cephalon  Inc.,Yes,Pcard,no
